External code,VendorName,Vendor,Centre,ED,ES
A0S9V9,Siemens,A,1,0,9
A1D0Q7,Philips,B,2,0,9
A1D9Z7,Siemens,A,1,22,11
A1E9Q1,Siemens,A,1,0,9
A1K2P5,Canon,D,5,33,11
A1O8Z3,Philips,B,3,23,10
A2C0I1,Siemens,A,1,0,7
A2E3W4,GE,C,4,0,0
A2H5K9,Philips,B,2,29,8
A2L1N6,Siemens,A,1,0,12
A2N8V0,Siemens,A,1,0,9
A3B7E5,Philips,B,2,29,12
A3H1O5,Siemens,A,1,0,12
A3H5R1,GE,C,4,24,6
A3P9V7,Canon,D,5,27,13
A4A8V9,Philips,B,3,0,10
A4B5U4,Siemens,A,1,0,10
A4B9O6,Canon,D,5,0,11
A4J4S4,Siemens,A,1,0,7
A4K8R4,Canon,D,5,24,11
A4R4T0,Canon,D,5,21,8
A4U9V5,Siemens,A,1,0,8
A5C2D2,Philips,B,3,24,9
A5D0G0,Philips,B,2,0,10
A5E0T8,Philips,B,3,24,8
A5H1Q2,GE,C,4,0,9
A5P5W0,Canon,D,5,33,10
A5Q1W8,Canon,D,5,27,10
A6A8H0,Canon,D,5,27,8
A6B5G9,Siemens,A,1,0,11
A6B7Y4,Canon,D,5,1,10
A6D5F9,Siemens,A,1,0,11
A6J0Y2,Philips,B,2,27,13
A6M1Q7,Philips,B,2,29,11
A7D9L8,Siemens,A,1,0,11
A7E4J0,Philips,B,3,1,12
A7F4G2,Canon,D,5,25,10
A7G0P5,Philips,B,2,28,9
A7M7P8,Siemens,A,1,0,9
A7O4T6,Siemens,A,1,0,10
A8C5E9,GE,C,4,24,9
A8C9H8,GE,C,4,0,0
A8C9U8,Philips,B,2,28,9
A8E1F4,Philips,B,3,24,9
A8I1U6,GE,C,4,0,0
A9C5P4,Philips,B,2,29,8
A9E3G9,Philips,B,3,23,8
A9F3T5,GE,C,4,24,8
A9J5Q7,Philips,B,3,24,7
A9J8W7,Philips,B,2,29,10
A9L7Y7,GE,C,4,24,5
B0H7V0,Siemens,A,1,0,9
B0I2Z0,Siemens,A,1,0,8
B0L3Y2,GE,C,4,24,10
B0N3W8,Philips,B,2,28,15
B1G9J3,Philips,B,2,29,10
B1K7U1,GE,C,4,0,0
B2C2Z7,Siemens,A,1,0,8
B2D9M2,Siemens,A,1,0,8
B2D9O2,Philips,B,2,29,13
B2F4K5,Philips,B,2,29,10
B2G5R2,Siemens,A,1,0,7
B2L0L2,GE,C,4,24,8
B3D0N1,Philips,B,3,24,8
B3E2W8,Canon,D,5,23,9
B3F0V9,Siemens,A,1,0,12
B3O1S0,Siemens,A,1,0,8
B3P3R1,Siemens,A,1,0,11
B3S2Z4,Philips,B,2,28,11
B4E1K1,Philips,B,3,0,9
B4I8Z7,GE,C,4,0,0
B4O3V3,Siemens,A,1,0,6
B4S1Y2,Philips,B,2,29,10
B5F8L9,Siemens,A,1,0,8
B5L5Y4,Philips,B,3,24,10
B5T6V0,Philips,B,3,0,10
B6D0U7,Philips,B,2,29,9
B6I0T4,Canon,D,5,33,10
B7F5P0,Philips,B,3,29,12
B8H5H6,Siemens,A,1,24,8
B8J7R4,Siemens,A,1,0,12
B8P5Q9,GE,C,4,23,9
B9E0Q1,Siemens,A,1,0,11
B9G4U2,Canon,D,5,28,8
B9H8N8,Siemens,A,1,0,10
B9O1Q0,Philips,B,2,29,11
C0K1P0,Siemens,A,1,0,9
C0L7V1,Canon,D,5,33,14
C0N8P4,GE,C,4,24,9
C0S7W0,Philips,B,3,24,7
C0W2Y5,GE,C,4,0,0
C1G5Q0,Philips,B,3,24,8
C1K8P5,Siemens,A,1,0,8
C2J0K3,Siemens,A,1,0,9
C2L5P7,Philips,B,2,28,12
C2M6P8,Philips,B,3,24,8
C3I2K3,Philips,B,2,29,11
C4E9I1,Siemens,A,1,0,8
C4K8M1,GE,C,4,0,0
C4R8T7,Philips,B,2,28,8
C4S8W9,Philips,B,3,24,8
C5L0R0,Canon,D,5,29,12
C5M4S2,Siemens,A,1,0,9
C5Q2Y5,GE,C,4,0,0
C6E0F9,Siemens,A,1,0,8
C6J5P1,Siemens,A,1,0,10
C6U4W8,Siemens,A,1,0,9
C7L8Z8,Philips,B,2,29,9
C7M6W0,GE,C,4,24,8
C8I7P7,Philips,B,2,29,11
C8J7L5,GE,C,4,24,7
C8O0P2,GE,C,4,24,8
C8P3S7,Siemens,A,1,0,8
C8V5W8,GE,C,4,0,0
D0E2W0,GE,C,4,0,0
D0H9I4,Philips,B,2,0,10
D0R0R9,Siemens,A,1,0,11
D1H2O9,GE,C,4,24,8
D1H6U2,Siemens,A,1,0,8
D1J5P6,Siemens,A,1,0,13
D1L4Q9,Philips,B,2,29,10
D1L6T4,Canon,D,5,27,10
D1M1S6,Siemens,A,1,0,10
D1R0Y5,Philips,B,3,24,9
D1S5T8,Canon,D,5,23,14
D2U0V0,GE,C,4,24,10
D3D4Y5,Siemens,A,1,0,9
D3F3O5,Siemens,A,1,24,10
D3F9H9,Siemens,A,1,24,8
D3K5Q2,GE,C,4,11,0
D3O9U9,Siemens,A,1,0,10
